,address1,address2,MLS Number,sale_price,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size
201,206 Eldorado Drive,"Belton, MO 64012",2196539,125000,Belton,Lacy Estates,Single Family,Ranch,3,1,0,1962,936.0,RPR,0,RPR,10000,Belton,0,,1,"Full, Inside Entrance",1,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Treed",0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.2295684113865932
202,110 Manor Drive,"Belton, MO 64012",2219817,125000,Belton,Hargis Gardens,Single Family,Ranch,3,1,0,1955,960.0,Public Record,0,Public Record,"11,600",Belton,0,,0,Crawl Space,1,Frame,Traditional,Composition,City Lot,0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.2662993572084481
203,500 Jennifer Lane,"Garden City, MO 64747",2192928,125000,Garden City,Ky Le Vista Estates,Single Family,Ranch,4,1,0,1970,1380.0,Public Record,0,Public Record,120X130,Sherwood,0,,0,Crawl Space,1,Metal Siding,Traditional,Composition,"City Limits, Corner Lot, Level",0,1,Paved,1,Forced Air Gas,Central Electric,City/Public,City/Public,64747,0.3581267217630854
204,1804 Brandon,"Harrisonville, MO 64701",2188017,125000,Harrisonville,Parkwood South,Single Family,Ranch,3,1,0,1990,1004.0,Public Record,1004,Public Record,100X123,Harrisonville,0,,1,Full,1,Frame,Traditional,Composition,,0,1,,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,0.28236914600550966
205,2607 E Elm Street,"Harrisonville, MO 64701",2184434,125000,Harrisonville,Other,Single Family,Ranch,3,1,0,1995,1080.0,Public Record,0,Public Record,.5 ac,Harrisonville,0,,1,"Concrete, Full",1,"Frame, Wood Siding",Traditional,Composition,"City Lot, Level",0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,Other,64701,0.5
206,7204 E 162nd Street,"Belton, MO 64012",2195944,125000,Belton,Martinwood,Single Family,Raised Ranch,2,1,0,1984,858.0,Public Record,400,Public Record,100X165,Belton,0,,1,"Concrete, Finished, Garage Entrance",1,Board/Batten,,Composition,City Lot,0,1,"Pub Maint, Paved",1,Central Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,0.3787878787878788
207,304 S Delaware Street,"Archie, MO 64725",2212158,125150,Archie,Hi View Ridge,Single Family,Ranch,2,3,0,1978,1338.0,Public Record,500,Public Record,"10,540",Archie,0,,1,Full,1,Brick & Frame,Traditional,Composition,"City Lot, Treed",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64725,0.24196510560146925
208,204 S Madison Street,"Raymore, MO 64083",2173113,125500,Raymore,Other,Single Family,Ranch,4,1,0,1930,950.0,Public Record,0,Public Record,62X396,Raymore-Peculiar,0,,0,Crawl Space,0,Vinyl Siding,Traditional,Composition,City Lot,0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64083,0.5636363636363636
209,15704 Terry Avenue,"Belton, MO 64012",2179005,126000,Belton,Dikewood Add,Single Family,Split Entry,3,2,0,1990,1001.0,Public Record,450,Public Record,100X150,Belton,0,,1,"Egress Window, Garage Entrance, Inside Entrance",1,Frame,Contemporary,Composition,,0,0,,1,Forced Air Gas,Central Electric,City/Public - Verify,City/Public,64012,0.3443526170798898
210,2003 Christopher Street,"Harrisonville, MO 64701",2192685,126840,Harrisonville,Parkwood South,Single Family,Raised Ranch,3,1,0,1989,1004.0,Public Record,140,Agent,77X200,Harrisonville,0,,1,"Full, Garage Entrance, Inside Entrance",1,Frame,Traditional,Composition,"City Lot, Treed",0,1,Pub Maint,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,0.35353535353535354
211,310 Lacy Lane,"Belton, MO 64012",2175703,127085,Belton,Lacy Estates,Single Family,Ranch,3,1,1,1958,888.0,Public Record,200,Other,"9,660",Belton,0,,1,"Concrete, Walk Out",1,Frame,Traditional,Composition,Adjoin Greenspace,0,1,Pub Maint,1,Central Gas,Central Electric,City/Public,City/Public,64012,0.22176308539944903
212,201 Eldorado Drive,"Belton, MO 64012",2186464,127400,Belton,Lacy Estates,Single Family,Ranch,3,1,1,1959,1008.0,RPR,0,RPR,10735,Belton,0,,1,"Full, Garage Entrance",1,"Brick Veneer, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot, Treed",0,1,,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,0.2464416896235078
213,211 Spruce Street,"Garden City, MO 64747",2172310,127500,Garden City,Gross Add,Single Family,Ranch,3,2,0,1997,1320.0,RPR,0,Other,"16,000",Sherwood,0,,0,Slab,1,Vinyl Siding,Traditional,Composition,,0,0,,1,Central Electric,Central Electric,City/Public,City/Public,64747,0.3673094582185491
214,17226 Chula Vista Drive,"Belton, MO 64012",2200498,128000,Belton,West Belton,Single Family,Ranch,3,1,0,1960,1000.0,Owner,0,Agent,"17,160",Belton,0,,0,Crawl Space,1,Vinyl Siding,,Composition,,0,0,,1,Central Electric,Central Electric,City/Public,City/Public,64012,0.3939393939393939
215,1404 S Butler Drive,"Harrisonville, MO 64701",2177290,128200,Harrisonville,Other,Single Family,Ranch,2,2,0,1940,1010.0,Owner,0,Owner,"12,180",Harrisonville,0,,0,Slab,1,Vinyl Siding,Traditional,Composition,,0,1,Pub Maint,0,Central Electric,Zoned,City/Public,City/Public,64701,0.2796143250688705
216,706 E Shady Lane,"Harrisonville, MO 64701",2212308,128500,Harrisonville,Brooks Add,Single Family,Ranch,3,1,0,1957,1080.0,Public Record,0,Public Record,50X100,Harrisonville,0,,0,Crawl Space,0,Frame,Traditional,Composition,,0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,0.1147842056932966
217,210 W Walnut Street,"Cleveland, MO 64734",2187309,128750,Cleveland,Cleveland,Single Family,Ranch,3,2,0,1930,1226.0,RPR,0,Other,7598,Cass-Midway,0,,0,Crawl Space,0,Frame,,Composition,"City Limits, Corner Lot, Level, Treed",0,0,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64734,0.1744260789715335
218,517 Baldwin Street,"Belton, MO 64012",2181190,128800,Belton,Lacy Estates,Single Family,Ranch,3,1,0,1957,960.0,RPR,0,Public Record,.29 ac,Belton,0,,0,Crawl Space,1,Wood Siding,,Composition,,0,0,,1,Natural Gas,Central Electric,City/Public,City/Public,64012,0.29
219,110 Monroe Avenue,"Belton, MO 64012",2207113,128850,Belton,Valley High,Single Family,Split Entry,3,2,0,1979,1204.0,Public Record,316,Public Record,65X125,Belton,1,"Family Room, Gas Starter, Great Room",1,"Finished, Inside Entrance",1,Brick & Frame,Traditional,Composition,"City Lot, Treed",0,1,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.18652433425160697
220,707 Webster Street,"Harrisonville, MO 64701",2203724,129000,Harrisonville,Smiths Sub,Single Family,Raised Ranch,3,2,0,1971,1104.0,RPR,360,RPR,8276,Harrisonville,0,,1,Finished,1,Board/Batten,Traditional,Composition,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64701,0.18999081726354453
221,501 Morningside Drive,"Garden City, MO 64747",2199356,129500,Garden City,Ky Le Vista Estates,Single Family,Ranch,3,1,0,1974,1380.0,Public Record,0,Public Record,120X130,Sherwood,0,,0,Crawl Space,1,Vinyl Siding,Traditional,Composition,"City Lot, Corner Lot, Treed",0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64747,0.3581267217630854
222,301 Grand Street,"Belton, MO 64012",2231145,129900,Belton,Grand Hill,Single Family,Ranch,4,2,0,1960,1352.0,Public Record,0,Agent,"5,254",Belton,0,,1,"Concrete, Full, Walk Out",0,Frame,Traditional,Composition,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64012,0.12061524334251607
223,225 N Boardman Street,"Pleasant Hill, MO 64080",2192326,129900,Pleasant Hill,MILLER’S 3RD,Single Family,Bungalow,2,1,0,1920,956.0,Public Record,0,Public Record,5175,Pleasant Hill,0,,1,"Full, Not Finished",0,Frame,,Composition,"City Limits, City Lot, Corner Lot",0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64080,0.11880165289256199
224,402 2nd Street,"Belton, MO 64012",2222057,130000,Belton,Orig Belton,Single Family,2 Stories,3,1,0,1910,1018.0,Public Record,0,Public Record,"6,432",Belton,0,,0,Crawl Space,0,Frame,Traditional,Composition,"City Limits, Corner Lot, Level",0,1,Paved,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.14765840220385676
225,903 Main Street,"Belton, MO 64012",2221219,130000,Belton,Orig Belton,Single Family,Bungalow,2,1,1,1910,988.0,Public Record,0,Other,"10,800",Belton,0,,0,Crawl Space,1,Vinyl Siding,,Composition,Corner Lot,0,0,,1,Natural Gas,Central Electric,City/Public,City/Public,64012,0.24793388429752067
226,411 E Locust Street,"Drexel, MO 64742",2214621,130000,Drexel,Hattens Add,Single Family,Ranch,3,2,0,1968,1254.0,Public Record,0,Public Record,"13,015",Drexel,0,,1,Full,1,Other,Traditional,Composition,,0,0,,1,Central Electric,Central Electric,City/Public - Verify,City/Public,64742,0.29878328741965104
227,508 Lacy Lane,"Belton, MO 64012",2169437,130000,Belton,Lacy Estates,Single Family,Ranch,4,2,0,1960,1425.0,Public Record,0,Public Record,96X104,Belton,0,,0,Crawl Space,1,Stucco & Frame,Traditional,Composition,"City Lot, Level, Treed",0,1,Pub Maint,1,"Forced Air Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64012,0.22920110192837465
228,309 Lacy Lane,"Belton, MO 64012",2218732,130000,Belton,Lacy Estates,Single Family,Ranch,3,1,1,1958,1225.0,Public Record,0,Owner,"6,900",Belton,0,,0,Crawl Space,0,Vinyl Siding,Traditional,Composition,Corner Lot,0,1,,1,Central Gas,Central Electric,City/Public,City/Public,64012,0.1584022038567493
229,139 E Pacific Drive,"Belton, MO 64012",2217351,130000,Belton,Bel Air Add,Single Family,Ranch,3,1,0,1987,1014.0,Public Record,0,Public Record,7420,Belton,0,,0,,1,Vinyl Siding,Contemporary,Composition,,0,1,Pub Maint,1,Forced Air Electric,Central Electric,City/Public,City/Public,64012,0.17033976124885217
230,97 8th Street,"Garden City, MO 64747",2165849,130000,Garden City,Other,Single Family,Split Entry,4,2,0,1971,1520.0,Public Record,350,Other,161X180,Sherwood,0,,0,"Finished, Inside Entrance, Walk Out",1,Frame,Traditional,Metal,"Corner Lot, Level, Treed",0,0,"Pub Maint, Paved",1,Central Gas,Central Electric,City/Public,City/Public,64747,0.6652892561983471
231,127 Hargis Street,"Belton, MO 64012",2205076,130000,Belton,Carnegie,Single Family,Ranch,2,1,0,1950,885.0,Public Record,0,Public Record,6000,Belton,0,,1,"Full, Walk Out",0,Vinyl Siding,Traditional,Composition,City Lot,0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.13774104683195593
232,2104 Kay Street,"Harrisonville, MO 64701",2188956,130000,Harrisonville,Walkers Sub,Single Family,Ranch,3,1,0,1965,912.0,Public Record,0,Public Record,82X125,Harrisonville,0,,0,Crawl Space,1,"Frame, Wood Siding",Traditional,Composition,"City Limits, City Lot",0,1,Pub Maint,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,0.23530762167125804
233,202 N Armstrong,"Pleasant Hill, MO 64080",2176804,130000,Pleasant Hill,Millers Second,Single Family,1.5 Stories,2,1,0,1925,1788.0,Public Record,0,Public Record,75X140,Pleasant Hill,1,"Gas, Great Room, Masonry",1,"Concrete, Full, Walk Out",1,Frame,"Ante Bellum, Traditional",Composition,"City Lot, Level, Treed",0,1,"Pub Maint, Paved",1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64080,0.24104683195592286
234,1601 Ann Avenue,"Harrisonville, MO 64701",2201359,130000,Harrisonville,Parkwood East,Single Family,Split Entry,2,2,0,1975,956.0,Public Record,624,Public Record,"15,360",Harrisonville,1,Living Room,1,Concrete,1,Frame,Traditional,Composition,"City Lot, Corner Lot",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,0.3526170798898072
235,1401 Broadway Street,"Pleasant Hill, MO 64080",2161839,130000,Pleasant Hill,Other,Single Family,Ranch,3,1,0,1990,1168.0,Public Record,0,Agent,3 ac,Pleasant Hill,0,,0,Crawl Space,0,Other,Traditional,Composition,"Acreage, Adjoin Greenspace, City Limits, Treed",0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64080,3.0
236,505 Buena Vista Drive,"Belton, MO 64012",2192905,130000,Belton,Spanish Villa,Single Family,Split Entry,3,2,1,1985,1031.0,Public Record,506,Public Record,10595,Belton,1,"Basement, Family Room, Gas, Gas Starter",1,Finished,1,Frame,Traditional,Composition,City Lot,0,1,Pub Maint,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,0.2432277318640955
237,105 Bowman Street,"Harrisonville, MO 64701",2206782,130000,Harrisonville,Bowman Add,Single Family,Ranch,3,2,0,1958,888.0,Public Record,0,Public Record,7210,Harrisonville,0,,0,"Concrete, Full",1,Other,Traditional,Composition,,0,0,,1,Natural Gas,Central Electric,City/Public,City/Public,64701,0.1655188246097337
238,1004 Eastwood Road,"Harrisonville, MO 64701",2173266,130000,Harrisonville,Terry Add,Single Family,Ranch,3,2,0,1955,1320.0,Public Record,0,Public Record,80X181,Harrisonville,1,Wood Burning,1,"Concrete, Full, Partial",1,"Frame, Lap",Traditional,Composition,"City Lot, Level, Treed",0,0,"Pub Maint, Paved",1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,0.33241505968778695
239,1001 Green Street,"Harrisonville, MO 64701",2218443,130400,Harrisonville,Jacks Add,Single Family,Bungalow,2,1,0,2016,864.0,Public Record,0,Public Record,11136,Harrisonville,0,,0,Crawl Space,0,"Frame, Wood Siding",Traditional,Composition,"Corner Lot, Level",0,0,,1,Forced Air Electric,Central Electric,City/Public,City/Public,64701,0.2556473829201102
240,1002 Smith Circle,"Harrisonville, MO 64701",2192873,130700,Harrisonville,Smiths Sub,Single Family,Ranch,3,2,0,1972,1008.0,Public Record,1008,Public Record,7110,Harrisonville,0,,1,"Concrete, Finished, Full",1,"Concrete, Wood Siding",Traditional,Composition,"City Lot, Cul-De-Sac",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,0.16322314049586778
241,405 Hamilton Lane,"Belton, MO 64012",2223360,131000,Belton,Lacy Estates,Single Family,Ranch,2,1,0,1957,950.0,Public Record,0,Other,"9,472",Belton,0,,0,,0,Lap,,Composition,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64012,0.21744719926538109
242,405 Hamilton Lane,"Belton, MO 64012",2223360,131000,Belton,Lacy Estates,Single Family,Ranch,2,1,0,1957,950.0,Public Record,0,Other,"9,472",Belton,0,,0,,0,Lap,,Composition,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64012,0.21744719926538109
243,1505 Jones Avenue,"Pleasant Hill, MO 64080",2201610,131000,Pleasant Hill,Stone Creek,Single Family,Raised Ranch,3,1,1,1992,1002.0,RPR,0,RPR,9840,Pleasant Hill,0,,1,Full,1,Board/Batten,Traditional,Composition,City Lot,0,1,Pub Maint,1,Central Electric,Central Electric,City/Public,City/Public,64080,0.22589531680440772
244,17213 Monte Verde Drive,"Belton, MO 64012",2164583,132000,Belton,West Belton,Single Family,Ranch,4,2,0,1955,1164.0,Owner,0,Public Record,175X87,Belton,0,,0,Crawl Space,1,"Frame, Wood Siding",Traditional,Composition,"City Lot, Level, Treed",0,1,Pub Maint,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64012,0.34951790633608815
245,1509 Jones Avenue,"Pleasant Hill, MO 64080",2194490,132000,Pleasant Hill,Stone Creek,Single Family,Ranch,3,2,0,1991,1028.0,RPR,900,Agent,8400,Pleasant Hill,0,,1,"Finished, Full",1,Frame,Traditional,Composition,City Lot,0,1,Pub Maint,1,Forced Air Electric,Central Electric,City/Public,City/Public,64080,0.1928374655647383
246,1608 Lee Lane,"Pleasant Hill, MO 64080",2180363,132000,Pleasant Hill,Sunnyside Add,Single Family,Ranch,4,1,1,1970,1300.0,Public Record,1300,Public Record,80X125,Pleasant Hill,1,"Basement, Living Room, Masonry",1,"Concrete, Full, Walk Out",1,"Brick Trim, Vinyl Siding",Traditional,Composition,City Limits,0,1,Pub Maint,1,"Forced Air Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64080,0.2295684113865932
247,17510 Benton Drive,"Belton, MO 64012",2215268,132500,Belton,West Belton,Single Family,Ranch,3,1,0,1956,864.0,Public Record,0,Public Record,162X102,Belton,0,,0,Crawl Space,1,Frame,Traditional,Composition,"City Limits, City Lot",0,1,"Pub Maint, Paved",1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.3793388429752066
248,404 Brookside Drive,"Belton, MO 64012",2165474,132500,Belton,Lacy Estates,Single Family,Ranch,3,1,0,1964,1006.0,Public Record,0,Agent,9594,Belton,0,,1,"Concrete, Full, Inside Entrance",1,Metal Siding,Traditional,Composition,"City Lot, Treed",0,1,Pub Maint,1,Natural Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,0.22024793388429753
249,605 Shady Lane,"Harrisonville, MO 64701",2174586,132700,Harrisonville,Brooks Add,Single Family,Raised Ranch,3,1,0,1968,1200.0,Public Record,912,Public Record,66X168,Harrisonville,0,,1,"Concrete, Full, Inside Entrance",1,Frame,Traditional,Composition,City Lot,0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,0.2545454545454545
250,616 N Independence Street,"Pleasant Hill, MO 64080",2188365,133000,Pleasant Hill,Other,Single Family,Ranch,3,1,0,1960,912.0,Public Record,0,Public Record,"4,838",Pleasant Hill,0,,0,Crawl Space,0,Frame,,Metal,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64080,0.11106519742883379
251,603 N Lexington Street,"Harrisonville, MO 64701",2192078,133000,Harrisonville,Harrisonville,Single Family,Ranch,3,2,0,1900,1000.0,Owner,0,Public Record,"11,880",Harrisonville,0,,0,Stone/Rock,0,Other,,Composition,City Lot,0,0,,1,Heatpump/Gas,Central Electric,City/Public,City/Public,64701,0.2727272727272727
252,709 Colbern Street,"Belton, MO 64012",2170023,133000,Belton,Lacy Estates,Single Family,Ranch,3,2,0,1960,936.0,Public Record,450,Other,9636,Belton,0,,1,Full,1,Brick & Frame,Traditional,Composition,Treed,0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.22121212121212122
253,410 4th Street,"Belton, MO 64012",2173560,133500,Belton,Orig Belton,Single Family,2 Stories,3,2,1,2005,1944.0,Public Record,0,Public Record,.4 ac,Belton,1,,0,,0,Lap,Traditional,Composition,City Lot,0,0,,1,Central Electric,Central Electric,City/Public,City/Public,64012,0.4
254,601 Morningside Drive,"Garden City, MO 64747",2210706,134000,Garden City,Ky Le Vista Estates,Single Family,Ranch,3,1,0,1990,1144.0,Public Record,0,Public Record,.28 ac,Sherwood,0,,0,,1,Brick & Frame,,Composition,,0,0,,1,Natural Gas,Central Electric,City/Public,City/Public,64747,0.28
255,402 Juniper Street,"Garden City, MO 64747",2173182,134000,Garden City,Garden City,Single Family,Ranch,3,2,0,2001,1232.0,Public Record,0,Public Record,70X140,Sherwood,0,,0,Slab,1,Wood Siding,Traditional,Composition,Level,0,0,,1,Central Electric,Central Electric,"City/Public, Well",City/Public,64747,0.22497704315886133
256,2102 Parkwood Drive,"Harrisonville, MO 64701",2199954,134000,Harrisonville,Parkwood East,Single Family,Split Entry,3,1,0,1985,1082.0,Public Record,0,Public Record,.19 ac,Harrisonville,0,,1,"Concrete, Inside Entrance",1,Board/Batten,Traditional,Composition,City Lot,0,1,,1,Central Gas,Central Electric,City/Public,City/Public,64701,0.19
257,112 S Campbell Street,"Pleasant Hill, MO 64080",2196474,134000,Pleasant Hill,Millers 1st,Single Family,Bungalow,4,1,1,1940,1300.0,Public Record,0,Public Record,50X140,Pleasant Hill,0,,0,"Crawl Space, Other",1,Other,Cape Cod,Composition,"City Lot, Level, Treed",0,0,,1,"Central Gas, Other",Central Electric,City/Public,City/Public,64080,0.16069788797061524
258,219 S Front Street,"Pleasant Hill, MO 64080",2219297,134200,Pleasant Hill,O'Connells Addition,Single Family,1.5 Stories,3,2,0,1903,1221.0,Public Record,0,Public Record,10710,Pleasant Hill,1,"Family Room, Wood Burning",1,"Block, Inside Entrance, Stone/Rock",0,"Frame, Vinyl Siding",Colonial,Other,"City Limits, Level",0,1,"Pub Maint, Paved",1,Forced Air Gas,Central Electric,City/Public,City/Public,64080,0.24586776859504134
259,219 S Front Street,"Pleasant Hill, MO 64080",2219297,134200,Pleasant Hill,O'Connells Addition,Single Family,1.5 Stories,3,2,0,1903,1221.0,Public Record,0,Public Record,10710,Pleasant Hill,1,"Family Room, Wood Burning",1,"Block, Inside Entrance, Stone/Rock",0,"Frame, Vinyl Siding",Colonial,Other,"City Limits, Level",0,1,"Pub Maint, Paved",1,Forced Air Gas,Central Electric,City/Public,City/Public,64080,0.24586776859504134
260,604 Bird Avenue,"Harrisonville, MO 64701",2189080,134500,Harrisonville,Ridgeview Heights,Single Family,Raised Ranch,3,1,1,1968,1062.0,RPR,0,RPR,16385,Harrisonville,0,,1,"Concrete, Inside Entrance, Partial",1,"Brick Trim, Concrete",Traditional,Composition,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64701,0.37614784205693297
261,17503 Chestnut Drive,"Belton, MO 64012",2170536,134900,Belton,West Belton,Single Family,Ranch,3,2,0,1970,964.0,Public Record,0,Public Record,"16,524",Belton,0,,0,Crawl Space,1,Board/Batten,,Composition,,0,0,,1,Forced Air Gas,Central Electric,City/Public - Verify,City/Public,64012,0.3793388429752066
263,603 Mulberry Street,"Belton, MO 64012",2225655,135000,Belton,Georgia Lane,Single Family,Ranch,3,1,0,1960,912.0,Public Record,0,Public Record,"9,380",Belton,0,,0,Crawl Space,1,Frame,Traditional,Composition,"City Lot, Treed",0,1,Pub Maint,1,Natural Gas,Central Electric,City/Public,City/Public,64012,0.21533516988062443
264,411 Hamilton Lane,"Belton, MO 64012",2225685,135000,Belton,Lacy Estates,Single Family,Ranch,3,1,0,1955,1045.0,Public Record,0,Public Record,7800,Belton,0,,1,Other,0,Other,Traditional,Composition,City Lot,0,1,Pub Maint,1,Other,Other,City/Public - Verify,Unknown,64012,0.1790633608815427
265,1508 Lexington Road,"Pleasant Hill, MO 64080",2222500,135000,Pleasant Hill,Sunnyside Add,Single Family,1.5 Stories,3,1,0,1920,1818.0,Public Record,0,Other,21280,Pleasant Hill,1,"Recreation Room, Wood Burning",0,Crawl Space,0,"Stone & Frame, Wood Siding",Traditional,Composition,"City Lot, Corner Lot, Treed",0,0,,1,Central Gas,Central Electric,City/Public,Septic,64080,0.4885215794306703
266,301 S Franklin Street,"Raymore, MO 64083",2197514,135000,Raymore,Raymore,Single Family,Bungalow,3,1,0,1990,1120.0,Public Record,0,Public Record,28749,Raymore-Peculiar,0,,0,Crawl Space,0,Metal Siding,Traditional,Composition,"Corner Lot, Level, Treed",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64083,0.6599862258953169
267,603 Mulberry Street,"Belton, MO 64012",2225655,135000,Belton,Georgia Lane,Single Family,Ranch,3,1,0,1960,912.0,Public Record,0,Public Record,"9,380",Belton,0,,0,Crawl Space,1,Frame,Traditional,Composition,"City Lot, Treed",0,1,Pub Maint,1,Natural Gas,Central Electric,City/Public,City/Public,64012,0.21533516988062443
268,906 Green Street,"Harrisonville, MO 64701",2211320,135000,Harrisonville,Jacks Add,Single Family,Bungalow,2,1,0,2015,864.0,Public Record,0,Other,"7,424",Harrisonville,0,,0,Slab,1,Stone & Frame,Traditional,Composition,"City Lot, Corner Lot, Level, Treed",0,1,Paved,1,Central Electric,Central Electric,City/Public,City/Public,64701,0.1704315886134068
269,1508 Lexington Road,"Pleasant Hill, MO 64080",2222500,135000,Pleasant Hill,Sunnyside Add,Single Family,1.5 Stories,3,1,0,1920,1818.0,Public Record,0,Other,21280,Pleasant Hill,1,"Recreation Room, Wood Burning",0,Crawl Space,0,"Stone & Frame, Wood Siding",Traditional,Composition,"City Lot, Corner Lot, Treed",0,0,,1,Central Gas,Central Electric,City/Public,Septic,64080,0.4885215794306703
270,506 S Truman Road,"Archie, MO 64725",2212772,135000,Archie,Archie,Single Family,Ranch,3,1,0,1981,1066.0,Public Record,0,Public Record,"8,800",Archie,0,,1,"Concrete, Full, Not Finished",1,Vinyl Siding,Traditional,Composition,"City Limits, City Lot",0,0,Paved,1,Central Electric,Central Electric,City/Public,City/Public,64725,0.20202020202020202
272,304 W Sunrise Drive,"Belton, MO 64012",2210778,135000,Belton,Lacy Estates,Single Family,Ranch,3,1,0,1955,936.0,Public Record,0,Public Record,"7,995",Belton,0,,0,Crawl Space,0,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Treed",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.18353994490358128
273,1618 Ridgeway Drive,"Raymore, MO 64083",2190388,135000,Raymore,The Legends,Single Family,Ranch,2,2,0,2006,1018.0,Public Record,0,Public Record,27X63,Raymore-Peculiar,0,,1,"Egress Window, Full, Stubbed for Bath",1,"Stone Trim, Stucco",Traditional,Composition,"City Lot, Corner Lot",0,1,,1,"Central Electric, Heat Pump",Central Electric,City/Public,City/Public,64083,0.039049586776859505
274,313 N Campbell Street,"Pleasant Hill, MO 64080",2181700,135000,Pleasant Hill,Millers Addition,Single Family,Bungalow,2,1,0,1941,1981.0,Public Record,0,Public Record,50X150,Pleasant Hill,0,,1,Full,1,Vinyl Siding,Traditional,Composition,City Lot,0,0,,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64080,0.1721763085399449
275,402 Park Avenue,"Belton, MO 64012",2180950,135000,Belton,Lacy Estates,Single Family,Ranch,3,1,0,1962,864.0,Public Record,0,Public Record,9750,Belton,0,,1,Full,1,"Frame, Wood Siding",Traditional,Composition,City Lot,0,1,Pub Maint,0,"Central Gas, Forced Air Electric",Central Electric,City/Public,City/Public,64012,0.2238292011019284
276,208 Manor Drive,"Belton, MO 64012",2172998,135000,Belton,Hargis Gardens,Single Family,Ranch,3,1,0,1990,1000.0,RPR,0,Other,80X145,Belton,0,,0,Crawl Space,1,Vinyl Siding,Traditional,Composition,,0,1,Pub Maint,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,0.2662993572084481
277,16103 Kay Avenue,"Belton, MO 64012",2171443,135000,Belton,Norman Tract,Single Family,Ranch,2,1,0,1960,935.0,Public Record,0,Public Record,30000,Belton,1,Living Room,0,,1,Other,Traditional,Composition,City Lot,0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.6887052341597796
278,306 E Forest Street,"Harrisonville, MO 64701",2169450,135000,Harrisonville,Moody Addition,Single Family,Bungalow,2,1,0,2017,912.0,RPR,0,Owner,51X157,Harrisonville,0,,0,Crawl Space,0,Board/Batten,Traditional,Composition,City Lot,0,1,"Pub Maint, Paved",0,Forced Air Gas,None,City/Public,City/Public,64701,0.18381542699724518
