,address1,address2,MLS Number,sale_price,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size
1341,1509 Colt Circle,"Raymore, MO 64083",2189620,259900,Raymore,Stonegate,Single Family,1.5 Stories,3,2,1,1999,2735.0,Public Record,0,Owner,11875,Raymore-Peculiar,1,"Gas Starter, Great Room, Wood Burning",1,"Full, Walk Out",1,"Stucco, Wood Siding",,Composition,"City Lot, Cul-De-Sac",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64083,0.27261248852157943
1342,202 N Walker Drive,"Raymore, MO 64083",2173603,259900,Raymore,Town Center,Single Family,1.5 Stories,4,2,1,1993,2245.0,Agent,0,Agent,"10,400",Raymore-Peculiar,1,Living Room,1,"Full, Walk Out",1,Frame,Traditional,Composition,"City Lot, Treed",0,1,"Pub Maint, Paved",1,"Forced Air Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64083,0.23875114784205692
1343,12432 Live Oak Circle,"Peculiar, MO 64078",2181014,259950,Peculiar,Twin Oaks,Single Family,Ranch,3,2,0,1990,1484.0,Builder,0,Agent,75X115,Raymore-Peculiar,0,,1,"Concrete, Full, Inside Entrance",1,"Frame, Stone Trim",Traditional,Composition,"City Lot, Level",0,1,,1,Forced Air Electric,Central Electric,City/Public,City/Public,64078,0.19800275482093663
1345,7314 Tennisen Court,"Belton, MO 64012",2200189,260000,Belton,Hardee Meadows,Single Family,Split Entry,4,3,0,2005,1714.0,Public Record,677,Public Record,12563,Belton,1,"Heat Circulator, Gas",1,"Finished, Full, Inside Entrance",1,Wood Siding,Traditional,Composition,"Cul-De-Sac, Treed",0,1,Pub Maint,1,Heat Pump,Central Electric,City/Public,City/Public,64012,0.28840679522497703
1346,6709 E Mabel Road,"Belton, MO 64012",2192771,260000,Belton,Riverview Estates,Single Family,Split Entry,4,3,0,1980,1536.0,Public Record,792,Public Record,239580,Belton,1,"Insert, Living Room, Wood Burn Stove",1,"Concrete, Finished, Walk Out",1,"Frame, Wood Siding",Traditional,Composition,"Acreage, Cul-De-Sac, Stream(s), Treed",0,0,,1,Propane Gas,Central Electric,City/Public,Septic,64012,5.5
1348,6406 Trott Road,"Belton, MO 64012",2172500,260000,Belton,Lloyd's Subdivision,Single Family,Raised Ranch,3,3,0,1977,1512.0,Public Record,0,Public Record,"82,764",Belton,1,"Gas Starter, Great Room, Wood Burning",1,"Concrete, Full, Inside Entrance",1,"Brick & Frame, Vinyl Siding",Traditional,Composition,"Acreage, Level",0,-1,Paved,1,"Heat Pump, Natural Gas","Attic Fan, Central Electric",City/Public,"Lagoon, Septic",64012,1.9
1349,18310 E 253rd Street,"Harrisonville, MO 64701",2195037,260000,Harrisonville,Western Hills,Single Family,Raised Ranch,3,2,1,1976,1200.0,Public Record,546,Appraisal,"154,638",Harrisonville,1,"Family Room, Living Room, Wood Burning",1,"Concrete, Finished, Walk Out",1,"Brick & Frame, Vinyl Siding",Traditional,Composition,Acreage,0,-1,Paved,1,Propane Gas,Central Electric,City/Public,Septic,64701,3.55
1350,719 Corrington Drive,"Raymore, MO 64083",2184896,260000,Raymore,Brookside,Single Family,Split Entry,4,3,0,2004,1888.0,Public Record,500,Agent,8856,Raymore-Peculiar,1,Living Room,1,"Finished, Inside Entrance, Partial",1,"Board/Batten, Stone Veneer",Traditional,Composition,Adjoin Greenspace,0,0,,1,"Forced Air Gas, Heat Pump",Central Electric,City/Public,City/Public,64083,0.20330578512396694
1351,1406 Russell Road,"Pleasant Hill, MO 64080",2182646,260000,Pleasant Hill,The Oaks,Single Family,2 Stories,5,3,1,2003,2273.0,RPR,895,Other,103X123,Pleasant Hill,1,"Gas, Living Room",1,"Finished, Inside Entrance, Walk Out",1,Frame,Traditional,Composition,"City Limits, Treed",0,1,"Pub Maint, Paved",1,"Central Gas, Forced Air Gas","Attic Fan, Central Electric",City/Public,City/Public,64080,0.2908402203856749
1352,28208 S Walker Road,"Harrisonville, MO 64701",2171680,260000,Harrisonville,Harrisonville,Single Family,Ranch,3,2,0,1982,1300.0,Public Record,0,Public Record,10 ac,Harrisonville,0,,1,"Concrete, Daylight, Not Finished",1,"All Brick, Frame",Traditional,Composition,Acreage,0,-1,Gravel,1,"Baseboard, Radiant",Central Electric,Rural,Septic,64701,10.0
1353,411 Appaloosa Drive,"Raymore, MO 64083",2170622,260000,Raymore,Bridlecroft,Single Family,Split Entry,4,2,0,1970,2106.0,Public Record,0,Public Record,34200,Raymore-Peculiar,1,"Gas, Gas Starter, Great Room",1,"Concrete, Full",1,"Brick Trim, Frame",Traditional,Composition,"City Lot, Corner Lot, Treed",0,1,Paved,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64083,0.7851239669421488
1354,1017 SW Almsby Road,"Lee's Summit, MO 64083",2210120,261000,Lees Summit,Kensington Farms,Single Family,Ranch,2,2,0,2014,1605.0,Public Record,0,Public Record,"8,646",Raymore-Peculiar,1,Great Room,1,"Egress Window, Full",1,"Stucco & Frame, Vinyl Siding",Traditional,Composition,"Cul-De-Sac, Level",0,0,,1,"Heat Pump, Natural Gas",Central Electric,City/Public,City/Public,64083,0.1984848484848485
1355,2210 N State Route 7 Highway,"Pleasant Hill, MO 64080",2202277,262000,Pleasant Hill,Other,Single Family,1.5 Stories,3,2,0,1987,1523.0,Public Record,0,Public Record,3 ac,Pleasant Hill,1,Living Room,1,Concrete,1,Vinyl Siding,Traditional,Composition,"Acreage, Treed",0,0,,1,Forced Air Gas,Central Electric,City/Public,Septic,64080,3.0
1356,21625 S Home Farm Road,"Harrisonville, MO 64701",2195980,262000,Harrisonville,Homes Farms,Single Family,Raised Ranch,3,3,0,1975,1404.0,Public Record,728,Agent,5 ac,Harrisonville,1,"Insert, Living Room, Wood Burning",1,"Concrete, Finished, Walk Out",1,"Brick Veneer, Metal Siding",Traditional,Composition,Acreage,0,0,,1,"Forced Air Gas, Propane Gas",Central Electric,Rural,Septic,64701,5.0
1357,22601 Cole Court,"Peculiar, MO 64078",2205745,262500,Peculiar,Windmill Country Estates,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,2007,1505.0,Public Record,657,Agent,"10,230",Raymore-Peculiar,1,"Gas, Great Room",1,"Egress Window, Finished, Full",1,Stucco & Frame,Traditional,Composition,"City Limits, Corner Lot, Level",0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64078,0.23484848484848486
1358,811 Stratford Drive,"Raymore, MO 64083",2184609,262900,Raymore,Lakeshore Meadows,Single Family,Ranch,4,3,0,1998,1358.0,Public Record,526,Agent,"9,680",Raymore-Peculiar,1,"Gas, Living Room",1,"Daylight, Finished",1,Frame,Traditional,Composition,City Lot,0,0,,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64083,0.2222222222222222
1359,12434 Live Oak Circle,"Peculiar, MO 64078",2180897,263950,Peculiar,Twin Oaks,Single Family,2 Stories,3,2,1,1990,1800.0,Builder,0,Agent,75X111,Raymore-Peculiar,0,Living Room,1,"Concrete, Full, Inside Entrance",1,"Frame, Wood Siding",Traditional,Composition,"City Lot, Level",0,1,"Pub Maint, Paved",1,Forced Air Gas,Central Electric,City/Public,City/Public,64078,0.19111570247933884
1360,506 Meadowlark Drive,"Raymore, MO 64083",2195746,263999,Raymore,Timber Trails,Single Family,2 Stories,4,3,1,2006,1723.0,Public Record,500,Agent,10500,Raymore-Peculiar,1,"Family Room, Gas, Great Room, Recreation Room",1,"Egress Window, Finished, Full",1,"Frame, Wood Siding",Traditional,Composition,"City Lot, Level",0,1,Pub Maint,1,"Forced Air Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64083,0.24104683195592286
1361,711 S Franklin Street,"Raymore, MO 64083",2161774,264000,Raymore,Shadowood,Single Family,2 Stories,4,2,2,2009,2306.0,,432,,"10,738",Raymore-Peculiar,1,"Family Room, Gas Starter",1,"Daylight, Finished, Inside Entrance",1,"Frame, Stucco",Traditional,Composition,"City Lot, Corner Lot",0,0,,1,"Forced Air Gas, Heat Pump",Heat Pump,City/Public,City/Public,64083,0.2465105601469238
1362,400 S Halsey Avenue,"Harrisonville, MO 64701",2162843,264500,Harrisonville,Other,Single Family,Reverse 1.5 Story,4,4,1,1970,2016.0,Public Record,2000,Public Record,155X102,Harrisonville,1,"Gas Starter, Great Room",1,"Inside Entrance, Walk Out",1,Stucco,,Composition,"Corner Lot, Treed",0,1,Pub Maint,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64701,0.36294765840220383
1363,716 Garnes Street,"Raymore, MO 64083",2219513,264950,Raymore,Brookside,Single Family,Split Entry,3,2,1,2005,1533.0,Public Record,267,Owner,"8,400",Raymore-Peculiar,1,"Family Room, Gas, Great Room",1,"Egress Window, Finished, Walk Out",1,"Frame, Wood Siding",Traditional,Composition,City Lot,0,0,Pub Maint,1,"Heat Pump, Natural Gas","Central Electric, Heat Pump",City/Public,City/Public,64083,0.1928374655647383
1364,9708 219th Circle,"Peculiar, MO 64078",2227061,265000,Peculiar,Setter's Pointe,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2017,1275.0,Plans,741,Plans,26627,Raymore-Peculiar,0,,1,"Egress Window, Finished",1,"Lap, Wood Siding",Traditional,Composition,"City Limits, City Lot",0,1,"Pub Maint, Paved",1,Central Gas,Central Electric,City/Public,City/Public,64078,0.6112718089990817
1365,415 Meadowlark Drive,"Raymore, MO 64083",2239151,265000,Raymore,Timber Trails,Single Family,Ranch,3,2,0,2010,1485.0,Builder,0,Public Record,68X112,Raymore-Peculiar,1,Great Room,1,"Daylight, Full, Inside Entrance",1,"Brick Trim, Frame",Traditional,Composition,"Adjoin Greenspace, City Limits, Treed",0,1,Paved,1,Heatpump/Gas,Heat Pump,City/Public,City/Public,64083,0.1748393021120294
1366,24112 S Tanaine Lane,"Peculiar, MO 64078",2164946,265000,Peculiar,Hedge Tree Estates,Single Family,Raised Ranch,3,2,1,1992,1362.0,Public Record,800,Other,3 ac,Raymore-Peculiar,1,"Basement, Gas, Great Room, Recreation Room, Other",1,Finished,1,Wood Siding,Traditional,Composition,Acreage,0,0,Paved,1,Central Electric,Central Electric,City/Public,Lagoon,64078,3.0
1367,436 E Ponderosa Street,"Drexel, MO 64742",2185800,265000,Drexel,Other,Single Family,Reverse 1.5 Story,4,3,1,2005,1695.0,Owner,1300,Owner,"25,060",Drexel,0,,1,"Finished, Inside Entrance, Walk Out",1,"Brick & Frame, Metal Siding",Traditional,Composition,"City Limits, Corner Lot",0,1,,1,Central Electric,Central Electric,City/Public,City/Public,64742,0.5752984389348026
1368,2013 Prairie Grass Drive,"Raymore, MO 64083",2202238,265000,Raymore,Meadowood of the Good Ranch,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,2006,1377.0,Public Record,1377,Public Record,9780,Raymore-Peculiar,1,Great Room,1,"Finished, Walk Out",1,"Stucco & Frame, Wood Siding",Traditional,Composition,"City Lot, Corner Lot",0,0,,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64083,0.22451790633608815
1369,27701 S Wolf Road,"Freeman, MO 64746",2198929,265000,Freeman,Other,Single Family,Raised Ranch,3,3,0,1970,1400.0,Public Record,1400,Public Record,"217,800",Cass-Midway,1,,1,"Concrete, Egress Window, Finished",1,Brick & Frame,Other,Composition,,0,0,,1,"Heat Pump, Propane Gas","Central Electric, Heat Pump","City/Public - Verify, Well",Septic,64746,5.0
1370,20406 S Raffurty Road,"Pleasant Hill, MO 64080",2204051,265000,Pleasant Hill,Other,Single Family,Ranch,3,2,1,1988,1154.0,Public Record,575,Other,3 ac,Pleasant Hill,0,,1,Concrete,1,Board/Batten,Traditional,Composition,"Acreage, Level",0,0,"Pub Maint, Paved",1,Propane Gas,Central Electric,Rural - Verify,Septic,64080,3.0
1371,602 Oak Drive,"Raymore, MO 64083",2189224,265000,Raymore,Park Place,Single Family,"Ranch, Reverse 1.5 Story",3,3,1,1996,1467.0,Public Record,1000,Other,23760,Raymore-Peculiar,1,"Heat Circulator, Gas, Living Room",1,"Daylight, Finished, Walk Out",1,"Brick Trim, Other",Traditional,Composition,"Corner Lot, Treed",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64083,0.5454545454545454
1372,409 W 220 Street,"Belton, MO 64012",2169631,265000,Belton,Other,Single Family,Raised Ranch,3,2,1,1995,1192.0,Public Record,900,Agent,3 ac,Belton,1,Living Room,1,"Concrete, Finished, Inside Entrance",1,Frame,Contemporary,Composition,"Acreage, Estate Lot",0,0,,1,"Forced Air Electric, Heat Pump",Central Electric,Rural,"Lagoon, Septic",64012,3.0
