,address1,address2,MLS Number,delme,sale_price,County,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size2,lot_size3
1295,916 Doe Drive,"Raymore, MO 64083",2151060,Map,315950,Cass,Raymore,Whitetail Run,Single Family,2 Stories,4,3,1,2019,2288,Other,0,Other,1 ac,Raymore-Peculiar,Y,Living Room,Y,"Concrete, Not Finished, Stubbed for Bath",Y,"Stucco & Frame, Wood Siding",Traditional,Composition,Corner Lot,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1296,12105 E 203rd Street,"Raymore, MO 64083",2219057,Map,316000,Cass,Raymore,Johnson Meadows,Single Family,Ranch,4,2,0,1998,1937,Public Record,0,Public Record,"130,680",Raymore-Peculiar,Y,"Gas, Master Bedroom",N,Crawl Space,Y,Vinyl Siding,Traditional,Composition,"Acreage, Estate Lot, Level",No,No,Pub Maint,Y,"Central Electric, Heat Pump","Central Electric, Heat Pump",City/Public,"Lagoon, Septic",64083,FALSE,TRUE
1297,12401 Black Oak Circle Drive,"Peculiar, MO 64078",2203257,Map,316600,Cass,Peculiar,Twin Oaks,Single Family,2 Stories,4,2,1,2019,2121,Builder,0,Builder,1 ac,Raymore-Peculiar,Y,"Gas, Great Room",Y,"Concrete, Daylight, Stubbed for Bath",Y,"Frame, Wood Siding",Traditional,Composition,City Lot,No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
1298,204 S Lakeshore Drive,"Raymore, MO 64083",2194100,Map,317000,Cass,Raymore,Lakeshore Place,Single Family,1.5 Stories,4,2,1,1995,2426,RPR,0,RPR,10530,Raymore-Peculiar,Y,"Gas, Living Room, See Through",Y,"Concrete, Full, Inside Entrance",Y,"Board/Batten, Brick & Frame",A-Frame,Composition,"City Lot, Lake Front",No,,,Y,"Heat Pump, Natural Gas",Heat Pump,City/Public,City/Public,64083,FALSE,TRUE
1299,1400 Rylee Court,"Raymore, MO 64083",2198796,Map,317500,Cass,Raymore,Brookside,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1265,Plans,800,Plans,9521,Raymore-Peculiar,Y,"Gas, Gas Starter, Living Room",Y,"Daylight, Finished",Y,Stone & Frame,Traditional,Composition,Treed,No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1300,1305 Mission Drive,"Raymore, MO 64083",2165421,Map,317515,Cass,Raymore,Eagle Glen,Single Family,2 Stories,4,2,1,2019,2121,Builder,0,Builder,132X76,Raymore-Peculiar,Y,"Gas, Great Room",Y,"Concrete, Daylight, Stubbed for Bath",Y,"Frame, Wood Siding",Traditional,Composition,City Lot,No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
1301,728 S Franklin Street,"Raymore, MO 64083",2150147,Map,318000,Cass,Raymore,Shadowood,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2018,2400,Builder,0,Builder,8856,Raymore-Peculiar,Y,"Electric, Gas, Living Room",Y,"Finished, Full, Walk Out",Y,"Stone Trim, Stucco & Frame",Traditional,Composition,"City Limits, City Lot, Level",No,Yes,"Pub Maint, Paved",Y,"Central Electric, Natural Gas","Central Electric, Heat Pump",City/Public,City/Public,64083,FALSE,TRUE
1302,934 Hedge Apple Place,"Raymore, MO 64083",2165448,Map,318000,Cass,Raymore,Stonegate of the Good Ranch,Single Family,1.5 Stories,4,3,1,2003,2984,Other,419,Agent,14594,Raymore-Peculiar,Y,"Gas, Gas Starter, Living Room",Y,"Concrete, Daylight, Finished",Y,Board/Batten,Traditional,Composition,"City Lot, Corner Lot",No,,,Y,Central Electric,"Central Electric, Heat Pump",City/Public,City/Public,64083,FALSE,TRUE
1303,823 Cedar Ridge Drive,"Raymore, MO 64083",2198794,Map,318750,Cass,Raymore,Brookside,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,2019,1360,Plans,950,Plans,10941,Raymore-Peculiar,Y,"Gas, Gas Starter, Living Room",Y,"Daylight, Finished",Y,Stone & Frame,Traditional,Composition,Treed,No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1304,20919 Larkspur Drive,"Peculiar, MO 64078",2214110,Map,318950,Cass,Peculiar,Olive Branch,Single Family,Ranch,3,2,0,2020,1635,Builder,0,Builder,"9,600",Raymore-Peculiar,Y,"Gas, Living Room",Y,"Egress Window, Full",Y,"Stucco, Wood Siding",Traditional,Composition,City Lot,No,Yes,Paved,Y,Heat Pump,Heat Pump,City/Public,City/Public,64078,FALSE,TRUE
1305,312 Crestview Court,"Raymore, MO 64083",2217086,Map,319000,Cass,Raymore,Alexander Creek,Single Family,"Ranch, Reverse 1.5 Story",3,2,0,2019,1652,Builder,0,Builder,"7,507",Raymore-Peculiar,Y,"Gas Starter, Great Room",Y,"Full, Not Finished, Stubbed for Bath",Y,"Stucco & Frame, Vinyl Siding",Traditional,Composition,"City Lot, Cul-De-Sac",No,Yes,Pub Maint,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1306,11706 E 229th Street,"Peculiar, MO 64078",2201000,Map,319900,Cass,Peculiar,Fox's Den,Single Family,2 Stories,4,2,1,1990,2006,Builder,0,Builder,"9,999",Raymore-Peculiar,Y,"Gas, Great Room",Y,"Full, Not Finished",Y,"Stucco & Frame, Wood Siding",Traditional,Composition,"City Lot, Level",No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
1307,1530 Wildwood Circle,"Raymore, MO 64083",2176522,Map,319900,Cass,Raymore,Stonegate,Single Family,"Ranch, Reverse 1.5 Story",3,3,1,2004,2400,Other,1480,Other,"15,735",Raymore-Peculiar,Y,Family Room,Y,Walk Out,Y,Board/Batten,Traditional,Composition,"Corner Lot, Cul-De-Sac",No,,,Y,Heat Pump,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1308,1502 Haystack Road,"Raymore, MO 64083",2161312,Map,319900,Cass,Raymore,Stonegate,Single Family,Ranch,4,3,0,1990,1885,Public Record,1555,Other,"11,675",Raymore-Peculiar,Y,"Gas, Great Room",Y,"Finished, Full, Walk Out",Y,Board/Batten,Traditional,Composition,"Adjoin Greenspace, City Lot",No,,,Y,"Forced Air Gas, Heat Pump",Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1309,817 Blue Grama Court,"Raymore, MO 64083",2148756,Map,319900,Cass,Raymore,Meadowood of the Good Ranch,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,2019,1503,Plans,1061,Public Record,66X127,Raymore-Peculiar,Y,"Electric, Family Room, Great Room",Y,"Egress Window, Inside Entrance, Walk Out",Y,"Board/Batten, Stone Veneer",Traditional,Composition,"City Limits, City Lot, Cul-De-Sac",No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
1310,19305 S School Road,"Raymore, MO 64083",2218255,Map,320000,Cass,Raymore,Other,Single Family,Ranch,3,2,0,1981,1684,Public Record,0,Public Record,130680,Raymore-Peculiar,Y,"Great Room, Masonry, Wood Burning",Y,"Full, Inside Entrance",Y,"Board/Batten, Brick Trim",Traditional,Composition,"Acreage, Level, Treed",No,,Paved,Y,Heat Pump,"Attic Fan, Heat Pump",Rural,Septic,64083,FALSE,TRUE
1311,12400 Live Oak Circle,"Peculiar, MO 64078",2203260,Map,320000,Cass,Peculiar,Twin Oaks,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2020,1504,Builder,927,Builder,.3 ac,Raymore-Peculiar,Y,"Gas, Great Room",Y,"Daylight, Finished",Y,"Lap, Stucco",Traditional,Composition,City Lot,No,,Paved,Y,Central Gas,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
1312,19025 S Purvis Road,"Pleasant Hill, MO 64080",2201833,Map,320000,Cass,Pleasant Hill,Other,Single Family,"1.5 Stories, Earth Contact",3,2,0,1983,2580,Public Record,0,Public Record,8 ac,Strasburg,N,,N,,N,Stone Trim,Other,Composition,"Acreage, Level, Treed",Unknown,No,,Y,Central Electric,"Attic Fan, Central Electric",City/Public,Septic,64080,FALSE,TRUE
1313,814 Blue Grama Court,"Raymore, MO 64083",2148766,Map,320000,Cass,Raymore,Meadowood of the Good Ranch,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,2019,1503,Plans,1061,Public Record,66X127,Raymore-Peculiar,Y,"Electric, Family Room, Great Room",Y,"Daylight, Egress Window, Inside Entrance",Y,"Board/Batten, Stone Veneer",Traditional,Composition,"City Limits, City Lot, Cul-De-Sac",No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
1314,327 SW Albatross Court,"Lee's Summit, MO 64082",2221377,Map,320500,Cass,Lee's Summit,Raintree Lake,Single Family,2 Stories,4,2,1,2003,2541,Public Record,941,Public Record,80X125,Raymore-Peculiar,Y,Great Room,Y,"Full, Inside Entrance, Not Finished",Y,"Brick Trim, Lap",Traditional,Composition,Level,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64082,TRUE,FALSE
1315,502 Tanner Drive,"Belton, MO 64012",2199502,Map,321000,Cass,Belton,Cherry Hill,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2007,1742,Appraisal,1273,Appraisal,81X138,Belton,Y,"Gas, Great Room",Y,"Finished, Full, Inside Entrance",Y,"Lap, Stucco",Traditional,Composition,City Lot,No,,,Y,Heatpump/Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,TRUE,FALSE
1316,1409 Brompton Lane,"Raymore, MO 64083",2193254,Map,321925,Cass,Raymore,Creekmoor- Westbrook Villas at,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,2005,1578,Public Record,860,Public Record,6875,Raymore-Peculiar,Y,"Family Room, Gas, Gas Starter, Living Room",Y,"Daylight, Finished, Full",Y,"Frame, Stucco",Traditional,Composition,"Adjoin Golf Course, City Limits, Level",No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1317,7703 E 201st Terrace,"Belton, MO 64012",2172782,Map,322000,Cass,Belton,Pickering Estates,Single Family,1.5 Stories,4,2,1,2004,2193,Public Record,0,Public Record,82764,Raymore-Peculiar,Y,"Great Room, Masonry, Wood Burning",Y,"Full, Inside Entrance",Y,Cedar,Other,Composition,"Acreage, Cul-De-Sac, Stream(s), Wooded",Yes,,Paved,Y,Heat Pump,"Attic Fan, Heat Pump",Rural - Verify,City/Public,64012,FALSE,TRUE
1318,4400 E 211th Street,"Belton, MO 64012",2185343,Map,322000,Cass,Belton,Sycamore Ridge,Single Family,Ranch,4,3,0,1977,1530,Public Record,1530,Public Record,145490,Belton,Y,Living Room,Y,"Finished, Walk Out, Walk Up",Y,"Brick Trim, Vinyl Siding",Traditional,Composition,"Acreage, Level, Pond(s), Treed",No,No,Gravel,Y,Heat Pump,"Attic Fan, Heat Pump",Rural,Septic,64012,FALSE,TRUE
1319,220 SW Seagull Street,"Lee's Summit, MO 64082",2213943,Map,322000,Cass,Lee's Summit,Raintree Lake,Single Family,"Ranch, Reverse 1.5 Story",3,3,1,1988,1600,Public Record,1500,Public Record,142X97,Raymore-Peculiar,Y,"Gas, Gas Starter, Living Room",Y,"Finished, Full, Walk Out",Y,"Stucco, Vinyl Siding",Traditional,Composition,City Lot,No,Yes,Pub Maint,Y,"Forced Air Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64082,TRUE,FALSE
1320,5130 SW Sandpiper Drive,"Lee's Summit, MO 64082",2205711,Map,323000,Cass,Lee's Summit,Raintree Lake,Single Family,3 Stories,4,4,1,1990,2774,Appraisal,1150,Appraisal,15400,Raymore-Peculiar,Y,"Family Room, Gas",Y,"Concrete, Finished, Full",Y,"Frame, Wood Siding",Victorian,Composition,Level,No,,Pub Maint,Y,Radiant,Central Electric,City/Public,City/Public,64082,FALSE,TRUE
1321,1302 Ashbury Lane,"Raymore, MO 64083",2211647,Map,323000,Cass,Raymore,Creekmoor- Village at So Hills,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,2009,1557,Public Record,650,Public Record,.1591 ac,Raymore-Peculiar,Y,"Gas, Great Room",Y,"Finished, Full, Walk Out",Y,Frame,Traditional,Composition,City Lot,Unknown,,,Y,Heatpump/Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1322,1211 Cooper Drive,"Raymore, MO 64083",2153019,Map,323350,Cass,Raymore,Eagle Glen,Single Family,"Ranch, Reverse 1.5 Story",3,3,0,2018,1504,Builder,927,Builder,8564,Raymore-Peculiar,Y,"Gas, Great Room",Y,"Egress Window, Finished, Full",Y,"Lap, Stucco",Traditional,Composition,City Lot,No,,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1323,1310 Mission Drive,"Raymore, MO 64083",2205998,Map,324000,Cass,Raymore,Eagle Glen,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2018,1431,Public Record,935,Public Record,10313,Raymore-Peculiar,Y,Great Room,Y,"Egress Window, Finished, Full",Y,"Stone Trim, Stucco & Frame",Traditional,Composition,"City Lot, Cul-De-Sac",No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1324,1012 Clayton Drive,"Raymore, MO 64083",2162937,Map,324500,Cass,Raymore,Remington Estates,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1275,Plans,741,Plans,"11,463",Raymore-Peculiar,Y,"Gas, Great Room",Y,"Finished, Walk Out",Y,"Stone Trim, Wood Siding",Traditional,Composition,"Adjoin Greenspace, City Limits, City Lot, Cul-De-Sac",No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1325,811 S Washington Street,"Raymore, MO 64083",2194653,Map,324650,Cass,Raymore,Shadowood,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2018,2400,Builder,0,Builder,9057,Raymore-Peculiar,Y,"Electric, Gas",Y,"Finished, Full, Walk Out",Y,"Stone Trim, Stucco & Frame",Traditional,Composition,"City Limits, City Lot",No,Yes,"Pub Maint, Paved",Y,"Forced Air Electric, Heat Pump","Central Electric, Heat Pump",City/Public,City/Public,64083,FALSE,TRUE
1326,905 Terrace Drive,"Raymore, MO 64083",2164581,Map,324900,Cass,Raymore,Moon Valley,Single Family,2 Stories,4,4,1,2005,2542,Public Record,1151,Public Record,140X89,Raymore-Peculiar,Y,"Gas, Living Room",Y,Finished,Y,"Stone Trim, Stucco",Traditional,Composition,City Lot,No,,,Y,"Heat Pump, Natural Gas","Central Electric, Heat Pump",City/Public,City/Public,64083,TRUE,FALSE
1327,1403 Rylee Court,"Raymore, MO 64083",2158846,Map,324900,Cass,Raymore,Brookside,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1360,Plans,950,Plans,10941,Raymore-Peculiar,Y,"Gas, Gas Starter, Living Room",Y,"Daylight, Finished",Y,Stone & Frame,Traditional,Composition,Treed,No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1328,23700 S Tanaine Lane,"Peculiar, MO 64078",2169906,Map,325000,Cass,Peculiar,Chadwick Estates,Single Family,Split Entry,4,3,0,1991,1496,Public Record,858,Public Record,5 ac,Raymore-Peculiar,Y,"Dining Room, Living Room, Wood Burning",N,"Finished, Full, Walk Out",Y,"Brick & Frame, Vinyl Siding",Traditional,Composition,"Acreage, Estate Lot, Pond(s), Treed",No,No,Paved,Y,Heat Pump,"Attic Fan, Heat Pump",City/Public,Septic,64078,FALSE,TRUE
1329,708 Shoreview Drive,"Raymore, MO 64083",2171038,Map,325000,Cass,Raymore,Lakeshore Place,Single Family,Front/Back Split,4,3,1,1999,2754,Public Record,0,Public Record,92X105,Raymore-Peculiar,Y,"Family Room, Gas Starter, Great Room",Y,"Finished, Full",Y,Frame,Traditional,Composition,"City Lot, Cul-De-Sac, Lake Front, Treed",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64083,TRUE,FALSE
1330,22901 S Creekview Drive,"Peculiar, MO 64078",2161130,Map,325000,Cass,Peculiar,Fox's Den,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2018,1370,Builder,795,Builder,"11,806",Raymore-Peculiar,Y,Great Room,Y,"Finished, Full, Walk Out",Y,"Stone & Frame, Wood Siding",Traditional,Composition,City Lot,No,Yes,,Y,Central Gas,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
1331,22912 S Fox's Lane,"Peculiar, MO 64078",2136905,Map,325000,Cass,Peculiar,Fox's Den,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2018,1405,Builder,875,Builder,"11,806",Raymore-Peculiar,Y,Great Room,Y,"Finished, Full, Walk Out",Y,"Stone & Frame, Wood Siding",Traditional,Composition,City Lot,No,Yes,,Y,Central Gas,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
1332,305 Tanner Drive,"Belton, MO 64012",2171127,Map,325000,Cass,Belton,Cherry Hill,Single Family,"1.5 Stories, Ranch",5,3,1,1997,2356,Public Record,1046,Public Record,"10,080",Belton,Y,"Gas, Gas Starter, Great Room, Hearth Room",Y,"Finished, Walk Out",Y,"Stucco, Wood Siding",Traditional,Composition,"City Lot, Level",No,Yes,Pub Maint,Y,"Central Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64012,FALSE,TRUE
1333,25308 E 235th Street,"Harrisonville, MO 64701",2157675,Map,325000,Cass,Harrisonville,Other,Single Family,Ranch,3,2,0,1972,1404,RPR,0,RPR,40 ac,Harrisonville,Y,Living Room,Y,Full,Y,"Brick & Frame, Vinyl Siding",Traditional,Composition,"Acreage, Pond(s), Treed",Unknown,,Gravel,Y,Forced Air Gas,Central Electric,Rural,Septic,64701,FALSE,TRUE
1334,1134 SW Cheshire Drive,"Lee's Summit, MO 64083",2162027,Map,325025,Cass,Lee's Summit,Kensington Farms,Single Family,Ranch,3,2,0,2019,1802,Builder,0,Builder,12452,Raymore-Peculiar,Y,"Gas, Great Room",Y,"Egress Window, Full, Stubbed for Bath",Y,"Stone Veneer, Vinyl Siding",Traditional,Composition,"Corner Lot, Level",No,Yes,Pub Maint,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1335,24409 Trail Ridge Pass,"Cleveland, MO 64734",2195565,Map,325500,Cass,Cleveland,Lazy Y,Single Family,Raised Ranch,5,4,0,1976,2506,Public Record,676,Public Record,348480,Cass-Midway,Y,"Family Room, Insert, Living Room, Masonry, Wood Burning",Y,"Finished, Full, Walk Out",Y,Brick & Frame,Traditional,Composition,"Acreage, Pond(s), Treed",No,Yes,"Pub Maint, Paved",Y,"Central Electric, Zoned",Central Electric,City/Public,"City/Public, Grinder Pump",64734,FALSE,TRUE
1336,1308 Belinder Drive,"Raymore, MO 64083",2201969,Map,325900,Cass,Raymore,Eagle Glen,Single Family,2 Stories,4,2,1,2016,2112,RPR,0,RPR,13035,Raymore-Peculiar,Y,"Gas, Great Room",Y,"Concrete, Daylight",Y,Lap,Traditional,Composition,"City Lot, Corner Lot",No,,Paved,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1337,1400 SW Fairfax Road,"Lee's Summit, MO 64083",2136877,Map,326700,Cass,Lee's Summit,Kensington Farms,Single Family,Reverse 1.5 Story,3,3,0,2018,1601,Builder,600,Builder,104X139,Raymore-Peculiar,N,,Y,"Concrete, Full, Stubbed for Bath",Y,"Stone Veneer, Vinyl Siding",Traditional,Composition,Corner Lot,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
1338,1556 SW Cornwall Road,"Lee's Summit, MO 64083",2159881,Map,327000,Cass,Lee's Summit,Kensington Farms,Single Family,2 Stories,4,2,1,2016,3325,Public Record,0,Agent,14148,Raymore-Peculiar,Y,"Gas, Great Room",Y,Full,Y,"Frame, Vinyl Siding",Traditional,Composition,Adjoin Greenspace,Unknown,,,Y,Central Gas,Central Gas,City/Public,City/Public,64083,FALSE,TRUE
1339,845 Creekmoor Pond Lane,"Raymore, MO 64083",2101955,Map,327000,Cass,Raymore,Creekmoor - High Point at,Single Family,1.5 Stories,4,2,1,2018,,Builder,0,Builder,1 ac,Raymore-Peculiar,Y,"Gas, Great Room",Y,"Concrete, Full, Not Finished",Y,Lap,Traditional,Composition,"Adjoin Greenspace, City Limits, Treed, Wooded",No,Yes,Pub Maint,Y,Central Gas,Central Electric,City/Public,City/Public,64083,,FALSE
1340,11900 Centennial Street,"Peculiar, MO 64078",2158317,Map,327000,Cass,Peculiar,Centennial Farms,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1600,Builder,600,Builder,90X142,Raymore-Peculiar,Y,"Gas Starter, Great Room",Y,"Egress Window, Finished, Full",Y,Stone & Frame,Traditional,Composition,"City Lot, Level, Treed",No,Yes,Pub Maint,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64078,TRUE,FALSE
1341,1708 Foxtail Drive,"Pleasant Hill, MO 64080",2210766,Map,328000,Cass,Pleasant Hill,Hunters Ridge,Single Family,"1.5 Stories, Ranch",4,3,0,2005,2090,RPR,1300,RPR,87X203,Pleasant Hill,Y,Living Room,Y,"Finished, Full",Y,"Brick Trim, Lap",Traditional,Composition,Level,No,,,Y,"Forced Air Gas, Heat Pump",Central Electric,City/Public,City/Public,64080,TRUE,FALSE
1342,4702 E 215th Street,"Belton, MO 64012",2165343,Map,328000,Cass,Belton,Other,Single Family,2 Stories,3,3,1,1970,2228,Public Record,0,Public Record,435600,Raymore-Peculiar,Y,Great Room,Y,"Concrete, Inside Entrance",N,"Brick Trim, Metal Siding",Traditional,Composition,"Acreage, Pond(s)",No,,,Y,"Propane Gas, Wood Burn Stove",Central Electric,City/Public,Septic,64012,FALSE,TRUE
1343,1206 Ragan Drive,"Pleasant Hill, MO 64080",2195592,Map,328200,Cass,Pleasant Hill,Ridge Tree,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1750,Builder,800,Builder,131X139,Pleasant Hill,Y,"Gas, Great Room",Y,"Daylight, Egress Window, Full",Y,"Stone Trim, Stucco & Frame",Traditional,Composition,City Limits,No,Yes,Pub Maint,Y,"Forced Air Gas, Heat Pump","Central Electric, Heat Pump",City/Public,City/Public,64080,TRUE,FALSE
1344,11803 Centennial Street,"Peculiar, MO 64078",2207307,Map,329000,Cass,Peculiar,Centennial Farms,Single Family,"Raised Ranch, Split Entry",4,3,0,2020,1760,Builder,701,Builder,120X130,Raymore-Peculiar,Y,"Gas Starter, Great Room",Y,"Egress Window, Finished, Walk Out",Y,Stone & Frame,Traditional,Composition,,No,Yes,Pub Maint,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64078,TRUE,FALSE
1345,22501 Settler Circle,"Peculiar, MO 64078",2136569,Map,329780,Cass,Peculiar,Centennial Farms,Single Family,Ranch,3,2,0,2018,1816,Plans,0,Plans,"28,691",Raymore-Peculiar,Y,Great Room,Y,"Egress Window, Full, Not Finished",Y,"Stone Trim, Wood Siding",Traditional,Composition,,No,Yes,"Pub Maint, Paved",Y,Central Electric,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
1346,1114 SW Cheshire Drive,"Lee's Summit, MO 64083",2192275,Map,329790,Cass,Lee's Summit,Kensington Farms,Single Family,Ranch,3,2,0,2019,1789,Builder,0,Builder,9292,Raymore-Peculiar,Y,Great Room,Y,"Egress Window, Full, Stubbed for Bath",Y,"Board/Batten, Stone Veneer",Traditional,Composition,Level,No,Yes,Pub Maint,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1347,554 Avondale Lane,"Raymore, MO 64083",2217534,Map,329900,Cass,Raymore,Creekmoor- Village at So Hills,Single Family,2 Stories,4,3,1,2007,2109,Public Record,822,Public Record,7992,Raymore-Peculiar,Y,"Gas, Gas Starter, Great Room",Y,"Daylight, Finished, Full",Y,Stone & Frame,Traditional,Composition,"Adjoin Greenspace, Level, Treed",No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1348,4701 E 184th Terrace,"Belton, MO 64012",2179617,Map,329900,Cass,Belton,Cottonwood Springs,Single Family,"1.5 Stories, 2 Stories",4,2,2,1990,1734,Public Record,612,Public Record,2 ac,Belton,Y,Basement,,"Finished, Full",Y,Frame,Traditional,Composition,"Acreage, Cul-De-Sac",No,No,"Pub Maint, Paved",Y,"Forced Air Electric, Heat Pump",Central Electric,Rural,Septic,64012,FALSE,TRUE
1349,1215 Hampton Drive,"Raymore, MO 64083",2145390,Map,329900,Cass,Raymore,Creekmoor,Single Family,2 Stories,4,3,1,2010,2151,Public Record,537,Owner,115X186,Raymore-Peculiar,Y,"Gas, Living Room",Y,"Daylight, Finished",Y,Frame,Traditional,Composition,City Lot,No,,Pub Maint,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64083,TRUE,FALSE
1350,209 N Eastglen Drive,"Raymore, MO 64083",2185987,Map,329950,Cass,Raymore,Eagle Glen,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2019,1298,Plans,885,Plans,9034,Raymore-Peculiar,Y,"Electric, Gas, Great Room, Insert",Y,"Daylight, Egress Window, Finished",Y,"Lap, Stucco",Traditional,Composition,"City Limits, City Lot, Level",No,Yes,"Pub Maint, Paved",Y,"Central Electric, Hot Water",Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1351,1101 SW Cheshire Drive,"Lee's Summit, MO 64083",2144249,Map,329990,Cass,Lee's Summit,Kensington Farms,Single Family,Ranch,3,2,0,2018,1802,Builder,0,Builder,10046,Raymore-Peculiar,Y,Great Room,Y,"Daylight, Full, Stubbed for Bath",Y,"Stone Veneer, Vinyl Siding",Traditional,Composition,,No,,,Y,Forced Air Gas,Central Electric,City/Public - Verify,City/Public,64083,FALSE,TRUE
1352,1307 Wiltshire Boulevard,"Raymore, MO 64083",2185870,Map,330000,Cass,Raymore,Creekmoor,Single Family,2 Stories,4,2,1,2007,2652,Public Record,0,Public Record,"13,351",Raymore-Peculiar,Y,"Gas Starter, Great Room",Y,"Full, Stubbed for Bath, Walk Out",Y,"Stone Trim, Wood Siding",Traditional,Composition,"Adjoin Greenspace, City Lot, Level",No,Yes,"Pub Maint, Paved",Y,Heatpump/Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
1353,5801 E 210th Street,"Belton, MO 64012",2210991,Map,330000,Cass,Belton,Jamison Southview Estates,Single Family,Ranch,3,2,1,1978,1680,Public Record,1048,Owner,99317,Belton,Y,"Basement, Great Room, Masonry, Wood Burn Stove",Y,"Concrete, Full",Y,"Board/Batten, Brick Trim",Traditional,Composition,"Acreage, Corner Lot",Unknown,,,Y,Heat Pump,"Attic Fan, Heat Pump",City/Public,Septic,64012,FALSE,TRUE
