,address1,address2,MLS Number,delme,sale_price,County,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size2,lot_size3
81,505 S Jefferson Street,"Raymore, MO 64083",2224988,Map,165000,Cass,Raymore,Maplewood,Single Family,Split Entry,3,2,0,1969,1100,Public Record,300,Agent,"12,834",Raymore-Peculiar,N,,Y,Finished,Y,Frame,Traditional,Composition,,,,,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
82,500 S Monroe Street,"Raymore, MO 64083",2227825,Map,165000,Cass,Raymore,Maplewood,Single Family,Split Entry,3,2,1,1983,1144,Public Record,200,Public Record,108X140,Raymore-Peculiar,Y,Wood Burn Stove,Y,"Concrete, Finished",Y,"Board/Batten, Stone Veneer",Traditional,Composition,"City Lot, Corner Lot, Treed",No,Yes,Pub Maint,Y,Central Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
83,241 E South Street,"Peculiar, MO 64078",2228391,Map,165000,Cass,Peculiar,Other,Single Family,Ranch,3,1,0,1960,1194,Public Record,0,Public Record,104X220,Raymore-Peculiar,N,,Y,"Full, Inside Entrance, Walk Up",Y,Vinyl Siding,Traditional,Composition,Level,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64078,TRUE,FALSE
84,808 York Drive,"Belton, MO 64012",2219195,Map,167500,Cass,Belton,Berkshire Estates,Single Family,Ranch,3,2,0,1994,1300,Public Record,0,Public Record,65X120,Belton,N,,Y,"Concrete, Full",Y,"Board/Batten, Stucco & Frame",,Composition,City Lot,No,Yes,Paved,Y,Natural Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
85,1518 Lawndale Avenue,"Pleasant Hill, MO 64080",2227581,Map,169000,Cass,Pleasant Hill,Country Club Estates,Single Family,"Ranch, Raised Ranch",3,2,0,1988,1002,Public Record,600,Public Record,"10,875",Pleasant Hill,N,,Y,"Finished, Garage Entrance, Inside Entrance",Y,Brick & Frame,Traditional,Composition,,,,,Y,Central Gas,Central Electric,City/Public,City/Public,64080,FALSE,TRUE
86,1102 S Butler Drive,"Harrisonville, MO 64701",2232171,Map,169000,Cass,Harrisonville,Jacks Add,Single Family,Ranch,3,1,0,1925,1300,Public Record,1300,Other,83X273,Harrisonville,N,,Y,Concrete,Y,"Brick & Frame, Frame",,Composition,City Lot,No,,,N,Central Electric,Central Electric,City/Public,City/Public,64701,TRUE,FALSE
87,507 Park Avenue,"Belton, MO 64012",2228099,Map,169900,Cass,Belton,Lacy Estates,Single Family,Raised Ranch,4,2,0,1972,960,Public Record,960,Public Record,"10,850",Belton,N,,Y,"Finished, Full, Inside Entrance",Y,"Brick Trim, Wood Siding",Contemporary,Composition,"City Limits, City Lot",Unknown,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
88,15904 Valentine Avenue,"Belton, MO 64012",2224143,Map,170000,Cass,Belton,Norman Tract,Single Family,Split Entry,3,2,0,1998,1066,Public Record,0,Public Record,100X110,Belton,Y,Family Room,Y,"Concrete, Inside Entrance",Y,Vinyl Siding,Traditional,Composition,Corner Lot,Unknown,,,Y,Central Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
89,2904 Easton Street,"Harrisonville, MO 64701",2232472,Map,170000,Cass,Harrisonville,Prairie View,Single Family,Ranch,3,2,0,2000,1241,Public Record,0,Public Record,50X115,Harrisonville,N,,N,Slab,Y,"Brick & Frame, Vinyl Siding",Traditional,Composition,City Lot,No,,Pub Maint,Y,"Central Electric, Heat Pump",Central Electric,City/Public,City/Public,64701,TRUE,FALSE
90,2901 Easton Street,"Harrisonville, MO 64701",2226302,Map,170000,Cass,Harrisonville,Prairie View,Single Family,Ranch,2,2,0,2001,1225,Public Record,0,Public Record,50X120,Harrisonville,N,,N,Slab,Y,"Frame, Vinyl Siding",Traditional,Composition,City Lot,No,,"Pub Maint, Paved",Y,"Central Electric, Heat Pump",Central Electric,City/Public,City/Public,64701,TRUE,FALSE
91,93 Pioneer Street,"Garden City, MO 64747",2223797,Map,171000,Cass,Garden City,Garden West,Single Family,Front/Back Split,3,2,0,1998,1372,Public Record,0,Public Record,9600,Sherwood,Y,Great Room,Y,"Concrete, Partial",Y,Board/Batten,Traditional,Composition,City Lot,No,,,Y,Central Electric,Central Electric,City/Public,City/Public,64747,FALSE,TRUE
92,850 Quail Ridge Road,"Peculiar, MO 64078",2230250,Map,172000,Cass,Peculiar,Quail Ridge,Single Family,Ranch,3,1,0,1994,1004,Public Record,1004,Public Record,"10,030",Raymore-Peculiar,N,,Y,"Full, Inside Entrance",Y,Wood Siding,Traditional,Composition,"City Lot, Corner Lot, Level",No,,,Y,Central Electric,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
93,501 Miller Drive,"Belton, MO 64012",2221682,Map,172000,Cass,Belton,Timber Hills,Single Family,Side/Side Split,3,1,1,1978,986,Public Record,209,Public Record,82X132,Belton,N,,Y,Concrete,Y,Board/Batten,Traditional,Composition,"City Lot, Corner Lot",No,,,Y,"Central Gas, Natural Gas",Central Electric,City/Public,City/Public,64012,TRUE,FALSE
94,1703 Ann Avenue,"Harrisonville, MO 64701",2229417,Map,172500,Cass,Harrisonville,Parkwood East,Single Family,Split Entry,3,1,1,1990,1082,Public Record,494,Owner,80X128,Harrisonville,N,,Y,"Concrete, Inside Entrance",Y,"Frame, Vinyl Siding",,Composition,City Lot,No,,,Y,Natural Gas,Central Electric,City/Public,City/Public,64701,TRUE,FALSE
95,414 N Randolph Street,"Pleasant Hill, MO 64080",2224012,Map,175000,Cass,Pleasant Hill,Millers Second,Single Family,Ranch,3,1,1,1950,1032,RPR,0,RPR,85X140,Pleasant Hill,N,,Y,Not Finished,Y,Frame,,Composition,,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64080,TRUE,FALSE
96,26205 S Smoke Road,"Peculiar, MO 64078",2223170,Map,175000,Cass,Peculiar,Vincent Acres,Single Family,"Bungalow, Ranch",2,2,0,1960,750,Public Record,750,Public Record,637X300,Raymore-Peculiar,Y,"Insert, Living Room",Y,"Concrete, Finished, Inside Entrance",Y,Vinyl Siding,Traditional,Composition,"Acreage, Corner Lot, Pond(s)",No,,,Y,Central Electric,"Attic Fan, Central Electric",Rural,Septic,64078,TRUE,FALSE
97,17509 Montgall Drive,"Belton, MO 64012",2233024,Map,177000,Cass,Belton,West Belton,Single Family,Split Entry,3,2,1,1988,1038,RPR,500,RPR,102X106,Belton,Y,"Basement, Gas Starter",Y,"Concrete, Finished, Walk Out",Y,Vinyl Siding,Traditional,Composition,"City Lot, Level, Treed",No,Yes,Pub Maint,Y,Central Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,TRUE,FALSE
98,8304 Spring Valley Road,"Belton, MO 64012",2224398,Map,178000,Cass,Belton,Bel Ray Estates,Single Family,Raised Ranch,3,2,0,1978,1310,Other,231,Other,.25 ac,Belton,Y,Family Room,Y,Garage Entrance,Y,Wood Siding,Traditional,Composition,"City Limits, City Lot, Treed",No,Yes,,Y,Central Gas,Central Gas,City/Public,City/Public,64012,FALSE,TRUE
99,604 W Mechanic Street,"Harrisonville, MO 64701",2228396,Map,179000,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,1.5 Stories,4,2,0,1910,1568,Public Record,0,Public Record,"13,350",Harrisonville,N,,Y,"Block, Concrete, Inside Entrance",N,"Cedar, Vinyl Siding","Ante Bellum, Traditional",Composition,"City Lot, Estate Lot",Unknown,Yes,"Pub Maint, Paved",Y,Natural Gas,Central Electric,City/Public,City/Public,64701,FALSE,TRUE
100,104 W 3rd Street,"Garden City, MO 64747",2216951,Map,179500,Cass,Garden City,Pedicord Addition,Single Family,Ranch,4,2,0,1963,1950,Owner,0,Other,87X87,Sherwood,N,,N,Crawl Space,Y,"Brick Trim, Lap",Traditional,Composition,City Lot,No,Yes,Pub Maint,Y,Central Electric,Central Electric,City/Public,City/Public,64747,TRUE,FALSE
101,108 Trinity Circle,"Harrisonville, MO 64701",2231626,Map,180000,Cass,Harrisonville,Trinity Acres,Single Family,Ranch,3,2,0,2007,1302,Public Record,0,Public Record,9880,Harrisonville,N,,N,,Y,Frame,Contemporary,Composition,"City Lot, Corner Lot, Cul-De-Sac",No,,,Y,Central Electric,Central Electric,City/Public,City/Public,64701,FALSE,TRUE
102,117 W Sierra Drive,"Raymore, MO 64083",2226541,Map,180000,Cass,Raymore,Cumberland Hills,Single Family,Split Entry,3,2,1,1995,1238,Public Record,0,Public Record,70X120,Raymore-Peculiar,Y,Great Room,Y,"Daylight, Finished, Walk Out",Y,"Board/Batten, Frame",Traditional,Composition,City Lot,No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
103,520 S Wilson Street,"Archie, MO 64725",2220709,Map,180500,Cass,Archie,Quail Ridge,Single Family,Ranch,3,2,0,2013,1662,Public Record,0,Public Record,15168,Archie,N,,N,Slab,Y,Wood Siding,Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64725,FALSE,TRUE
104,515 Galaxy Lane,"Raymore, MO 64083",2230764,Map,182000,Cass,Raymore,Morningview,Single Family,Ranch,2,2,0,2006,1263,RPR,0,RPR,5000,Raymore-Peculiar,Y,"Heat Circulator, Electric, Great Room",N,Slab,Y,"Frame, Stone Trim",Traditional,Composition,City Lot,Unknown,,,Y,Heat Pump,Heat Pump,City/Public,City/Public,64083,FALSE,TRUE
105,1309 Country Club Drive,"Pleasant Hill, MO 64080",2230103,Map,183500,Cass,Pleasant Hill,Hillcrest,Single Family,Ranch,3,2,0,1962,1344,Public Record,800,Agent,.319 ac,Pleasant Hill,N,,Y,"Finished, Full, Walk Out",Y,"Cedar, Stone Trim",Traditional,Composition,"City Limits, City Lot, Level, Treed",No,Yes,Paved,Y,Central Gas,Central Gas,City/Public,City/Public,64080,FALSE,TRUE
106,7903 E 162nd Terrace,"Belton, MO 64012",2229044,Map,185000,Cass,Belton,Georgia Place,Single Family,Raised Ranch,3,3,0,1991,1344,Public Record,672,Owner,8750,Belton,Y,Living Room,Y,"Concrete, Finished",Y,"Board/Batten, Lap",Traditional,Composition,,,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
107,17508 S Benton Drive,"Belton, MO 64012",2225362,Map,185000,Cass,Belton,West Belton,Single Family,Front/Back Split,3,1,0,1994,1028,Public Record,400,Owner,"16,524",Belton,Y,Basement,,Concrete,Y,Frame,Traditional,Composition,,,,,Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
108,1307 Delaware Street,"Pleasant Hill, MO 64080",2226531,Map,187000,Cass,Pleasant Hill,Country Gardens,Single Family,Ranch,3,1,1,1960,1056,RPR,0,RPR,85X154,Pleasant Hill,N,,Y,"Concrete, Full",Y,Frame,Traditional,Composition,"City Lot, Level, Treed",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,TRUE,FALSE
109,16411 Spring Valley Road,"Belton, MO 64012",2215857,Map,187500,Cass,Belton,Bel Ray,Single Family,Raised Ranch,4,2,0,1975,1188,Public Record,216,Owner,9798,Belton,Y,"Gas, Gas Starter, Living Room, Wood Burning",Y,"Finished, Inside Entrance, Partial",Y,Vinyl Siding,,Composition,,No,Yes,Pub Maint,Y,"Central Gas, Natural Gas",Central Electric,City/Public,City/Public,64012,FALSE,TRUE
110,20915 S State Route Cc Highway,"Pleasant Hill, MO 64080",2228041,Map,188000,Cass,Pleasant Hill,Other,Single Family,Ranch,3,2,1,1976,2200,Owner,0,Owner,6 ac,Pleasant Hill,Y,,Y,"Full, Not Finished",Y,All Brick,Traditional,Composition,Acreage,Unknown,No,"Pub Maint, Paved",Y,Central Electric,Central Electric,City/Public,Septic,64080,FALSE,TRUE
111,821 Autumn Drive,"Belton, MO 64012",2226694,Map,189900,Cass,Belton,Berkshire Estates,Single Family,Split Entry,4,2,0,1991,1113,Public Record,400,Owner,80X120,Belton,Y,"Family Room, Insert",Y,"Egress Window, Finished, Stubbed for Bath",Y,"Frame, Vinyl Siding",Traditional,Composition,"City Limits, Treed",No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
112,302 N Park Drive,"Belton, MO 64012",2224424,Map,190000,Cass,Belton,Hargis Gardens,Single Family,Ranch,4,3,0,1960,1460,Public Record,640,Owner,"11,600",Belton,Y,"Living Room, Wood Burning",Y,"Egress Window, Finished, Garage Entrance",Y,All Brick,Traditional,Composition,"Level, Treed",No,Yes,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
113,433 E Elm Street,"Drexel, MO 64742",2229195,Map,190000,Cass,Drexel,Hattens Add,Single Family,Ranch,3,2,1,1975,1360,Public Record,500,Public Record,"15,732",Drexel,Y,"Basement, Living Room",Y,"Finished, Partial",Y,All Brick,Traditional,Composition,,No,Yes,,Y,Central Gas,Central Electric,City/Public,City/Public,64742,FALSE,TRUE
114,502 S Stella Street,"Harrisonville, MO 64701",2228531,Map,190000,Cass,Harrisonville,Deacon Place,Single Family,Ranch,3,3,0,1979,1395,Other,750,Other,"17,640",Harrisonville,Y,Gas,Y,"Concrete, Full",Y,Board/Batten,Traditional,Composition,,No,Yes,,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,FALSE,TRUE
115,206 Redbud Lane,"Belton, MO 64012",2233037,Map,190100,Cass,Belton,Deer Park,Single Family,Raised Ranch,3,3,0,1966,1500,RPR,0,RPR,81X190,Belton,Y,"Family Room, Gas Starter, Wood Burning",Y,"Concrete, Finished, Inside Entrance",Y,Brick Trim,Traditional,Composition,City Lot,No,,,Y,"Forced Air Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64012,TRUE,FALSE
116,22209 S Fawn Drive,"Peculiar, MO 64078",2229046,Map,191000,Cass,Peculiar,Deer Run Estates,Single Family,Raised Ranch,3,2,0,1979,1104,Public Record,0,Public Record,1 ac,Raymore-Peculiar,Y,"Insert, Living Room, Wood Burning",Y,"Concrete, Inside Entrance",Y,Board/Batten,Traditional,Composition,"Acreage, Treed",No,No,Gravel,Y,Forced Air Gas,Central Electric,Rural,Septic,64078,FALSE,TRUE
117,603 S Independence Street,"Harrisonville, MO 64701",2216911,Map,191000,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,1.5 Stories,4,2,0,1900,2064,Public Record,0,Public Record,60X193,Harrisonville,N,,Y,"Concrete, Partial, Stone/Rock",Y,"Frame, Vinyl Siding","Ante Bellum, Traditional",Composition,"City Lot, Treed",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64701,TRUE,FALSE
