,Unnamed: 0,address,description,sqft,lot_size,bedrooms,bathrooms,half_baths,sale_price,yr_built,town_Archie,town_Belton,town_Cleveland,town_Creighton,town_Drexel,town_East Lynne,town_Freeman,town_Garden City,town_Greenwood,town_Harrisonville,town_Kingsville,town_Lake Winnebago,town_Lees Summit,town_Loch Lloyd,town_Peculiar,town_Pleasant Hill,town_Raymore,town_Strasburg
1020,1020,"430 South Shore DriveLake Winnebago, MO 64034","4Bedrms4Full Bath(s)0Half Bath(s)4,416SqftBuilt in2002Single Family",4416,0.5,4,4,0,1185000,2002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1022,1022,"14 Dakota CircleLake Winnebago, MO 64034","5Bedrms4Full Bath(s)0Half Bath(s)4,034SqftBuilt in20190.5AcresSingle Family",4034,0.5,5,4,0,1250000,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1023,1023,"20 Hever Knoll DriveLoch Lloyd, MO 64012","4Bedrms4Full Bath(s)2Half Bath(s)6,184SqftBuilt in20062.69AcresSingle Family",6184,2.7,4,4,2,1275000,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1024,1024,"16415 TurnberryLoch Lloyd, MO 64012","4Bedrms4Full Bath(s)1Half Bath(s)3,746SqftBuilt in20162.69AcresSingle Family",3746,2.7,4,4,1,1320944,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1025,1025,"16114 Carnoustie LaneLoch Lloyd, MO 64012","4Bedrms4Full Bath(s)1Half Bath(s)4,138SqftBuilt in20162.69AcresSingle Family",4138,2.7,4,4,1,1678012,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1026,1026,"125 Street Of DreamsLoch Lloyd, MO 64012","5Bedrms5Full Bath(s)2Half Bath(s)6,849SqftBuilt in20162.69AcresSingle Family",6849,2.7,5,5,2,1725000,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1027,1027,"505 E 164th TerraceBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,767SqftBuilt in19880.34AcresSingle Family",1767,0.34,3,2,0,170000,1988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,1028,"705 E Saturn DriveRaymore, MO 64083","2Bedrms2Full Bath(s)0Half Bath(s)1,326SqftBuilt in1995Single Family",1326,0.2,2,2,0,170000,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1029,1029,"901 East StreetGarden City, MO 64747","3Bedrms2Full Bath(s)0Half Bath(s)1,226SqftBuilt in2003Single Family",1226,0.2,3,2,0,170000,2003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1030,1030,"1103 S Butler DriveHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)3,360SqftBuilt in19620.34AcresSingle Family",3360,0.34,3,2,0,170000,1962,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1031,1031,"627 Park AvenueBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,912SqftBuilt in1984Single Family",1912,0.25,3,2,0,170000,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,1032,"522 S Saturn DriveRaymore, MO 64083","2Bedrms2Full Bath(s)0Half Bath(s)1,184SqftBuilt in1998Single Family",1184,0.2,2,2,0,170000,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1033,1033,"15603 Lawrence AvenueBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,132SqftBuilt in1992Single Family",1132,0.2,3,2,0,170000,1992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,1034,"107 N Hillcrest RoadBelton, MO 64012","3Bedrms3Full Bath(s)0Half Bath(s)2,104SqftBuilt in19700.48AcresSingle Family",2104,0.48,3,3,0,170000,1970,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,1035,"921 Glengera DrivePeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,200SqftBuilt in19750.54AcresSingle Family",1200,0.54,3,2,0,170000,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
